typecode,status,train_flights,openap_2_6_2,ps_model,bada3,bada4,anp,apd_performance_similarity,emissions_databank_engine,notes,segment,openap_2_4,anp_official_substitute,apd_listed,apd_vat_ias_kt,engine_designations,engine_designation_source,faa_acd_model_bada
GA8,no_dynamics(A320 fallback),6,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,
P28S,no_dynamics(A320 fallback),6,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,
EC20,no_dynamics(A320 fallback),5,none,none,yes:3.8-synonym:HELI,unknown,none,,,,rotorcraft,none,,no,,,,
AEST,no_dynamics(A320 fallback),5,none,none,yes:3.8-synonym:MU2,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Piper Aerostar
M700,no_dynamics(A320 fallback),5,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,no,,,,
M600,no_dynamics(A320 fallback),5,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,yes,,,,
C421,no_dynamics(A320 fallback),5,none,none,yes:3.8-model,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Cessna 421C
SB20,no_dynamics(A320 fallback),5,none,none,yes:3.8-model,unknown,substitute:SF340,,,,airliner,none,SF340,yes,,,,Saab 2000
EA50,no_dynamics(A320 fallback),4,none,none,yes:3.8-model,unknown,native:ECLIPSE500,,,ANP native = reading of ANP description,business_jet,none,ECLIPSE500,no,,PW610F-A,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Eclipse EA500
RV6,no_dynamics(A320 fallback),4,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,
D328,no_dynamics(A320 fallback),4,none,none,yes:3.8-model,unknown,native:DO328,,,ANP native = reading of ANP description,airliner,none,DO328,yes,,,,Dornier 328
MD88,no_dynamics(A320 fallback),4,none,synonym:MD82,yes:3.8-synonym:MD82,unknown,substitute:MD83,No data,1PW019 4PW069 4PW070 4PW071,,airliner,none,MD83,yes,130,JT8D-217A|JT8D-217C|JT8D-219,"ANP substitution table, by aircraft configuration (EASA TCDSN)",McDonnell Douglas MD-88
T38,no_dynamics(A320 fallback),4,none,none,unknown,unknown,none,No data,,BADA 3.8 (2010) listed it as NOT covered,military,none,,yes,160,J85-GE-5,EUROCONTROL APD power plant,Northrop T-38 Talon
H25C,no_dynamics(A320 fallback),4,none,none,yes:3.8-synonym:FA20,unknown,substitute:IA1125,No data,,,business_jet,none,IA1125,yes,132,PW305|PW305B,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Hawker 1000
K100,no_dynamics(A320 fallback),4,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,no,,,,
EC45,no_dynamics(A320 fallback),4,none,none,yes:3.8-synonym:HELI,unknown,none,,,,rotorcraft,none,,no,,,,
B190,no_dynamics(A320 fallback),3,none,none,yes:3.8-synonym:JS32,unknown,native:1900D,,,"ANP native = reading of ANP description; ANP 1900D also carries an orphan approach row A_40D identical to 717200's (D=0.416345, R=0.140491); its DEFAULT approach uses 35-A",turboprop,none,,yes,,,,Beech 1900D
MD83,no_dynamics(A320 fallback),3,none,native,yes:3.8-model,unknown,native:MD83,No data,1PW018 1PW019 4PW068 4PW069 4PW070 4PW071,ANP native = reading of ANP description; ANP ID(s) carry no approach D/R coefficient (fixed-point profiles only),airliner,none,MD83,yes,137,JT8D-217|JT8D-217A|JT8D-217C|JT8D-219,"ANP substitution table, by aircraft configuration (EASA TCDSN)",McDonnell Douglas MD-83
C185,no_dynamics(A320 fallback),3,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Cessna 185 Skywagon
E120,no_dynamics(A320 fallback),3,none,none,yes:3.8-model,unknown,native:EMB120,,,ANP native = reading of ANP description,airliner,none,EMB120,yes,,,,Embraer EMB-120
BE9T,no_dynamics(A320 fallback),3,none,none,yes:3.8-synonym:BE9L,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,no,,,,Beech 90 (F90) King Air
H25A,no_dynamics(A320 fallback),3,none,none,yes:3.8-model,unknown,substitute:IA1125,No data,,,business_jet,none,IA1125,yes,125,TFE731-3-1H|TFE731-3R-1H|Viper 520|Viper 522|Viper 601|Viper 601-22|Viper 601-22A|Viper 601-22B,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Hawker Siddeley HS.125-3B
GLF3,no_dynamics(A320 fallback),2,none,none,yes:3.8-synonym:FA7X,unknown,native:GIIB,No data,,ANP native = reading of ANP description,business_jet,none,GIIB,yes,135,Spey 511-8,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Gulfstream III
F5,no_dynamics(A320 fallback),2,none,none,yes:3.8-synonym:FGTN,unknown,none,No data,,,military,none,,yes,170,J85-GE-13|J85-GE-21B,EUROCONTROL APD power plant,
B36T,no_dynamics(A320 fallback),2,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,no,,,,Beech Bonanza 36 Turbine
LJ40,no_dynamics(A320 fallback),2,none,none,yes:3.8-synonym:LJ45,unknown,none,No data,,,business_jet,none,,yes,115,TFE731-20AR|TFE731-20BR,EUROCONTROL APD power plant,Learjet 40
HA4T,no_dynamics(A320 fallback),2,none,none,unknown,unknown,substitute:EMB145,,01P07PW145,BADA 3.8 (2010) listed it as NOT covered,business_jet,none,EMB145,no,,PW308A,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Hawker 4000
E135,no_dynamics(A320 fallback),2,none,native,yes:3.8-model,unknown,substitute:EMB145,No data,01P06AL030 01P06AL031 01P06AL032 01P06AL034 01P10AL033 6AL011 6AL012 6AL014 6AL015 6AL017 6AL018,,airliner,none,EMB145,yes,130,AE3007 A1/3|AE3007 A1E|AE3007 A1P|AE3007 A2|AE3007 A3,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Embraer EMB-135LR
C27J,no_dynamics(A320 fallback),2,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered,military,none,,no,,,,
RV14,no_dynamics(A320 fallback),2,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,
PA31,no_dynamics(A320 fallback),2,none,none,yes:3.8-model,unknown,native:PA31,,,ANP native = reading of ANP description; ANP ID(s) carry no approach D/R coefficient (fixed-point profiles only),piston_ga,none,,yes,,,,Piper PA-31 Navajo C
TEX2,no_dynamics(A320 fallback),2,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered,military,none,,no,,,,Raytheon T-6B
RV7,no_dynamics(A320 fallback),2,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,
C310,no_dynamics(A320 fallback),2,none,none,yes:3.8-synonym:PA34,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Cessna 310R
PA27,no_dynamics(A320 fallback),2,none,none,yes:3.8-model,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Piper PA-23-250 Aztec D
P32T,no_dynamics(A320 fallback),2,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Piper PA-32RT-300T Turbo Lance
AC11,no_dynamics(A320 fallback),2,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Rockwell Commander 115
P210,no_dynamics(A320 fallback),2,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Cessna P210 Pressurized
C404,no_dynamics(A320 fallback),2,none,none,yes:3.8-synonym:C421,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Cessna 404 Titan
TWEN,no_dynamics(A320 fallback),2,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,
C441,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:PAY3,unknown,native:CNA441,,,ANP native = reading of ANP description,turboprop,none,,yes,,,,Cessna 441 Conquest
C72R,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:TRIN,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Cessna 172RG Cutlass RG
C501,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:C550,unknown,substitute:CNA500,,,,business_jet,none,CNA500,no,,FJ44-2A|JT15D-1A|JT15D-1B,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Cessna 501 Citation 1SP
B753,no_dynamics(A320 fallback),1,none,native,yes:3.8-model,unknown,native:757300,No data,4PW072 4PW073,"ANP native = reading of ANP description; ANP ID(s) carry no approach D/R coefficient (fixed-point profiles only); EDB: RB211-535E4(-B)-37 (TCDSN) -> EDB RB211-535E4 / -535E4B; rating unknown, no UID assigned",airliner,none,757300,yes,143,PW2037|PW2040|PW2043|RB211-535E4-37|RB211-535E4B-37|RB211-535E4C-37,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Boeing B757-300
BL17,no_dynamics(A320 fallback),1,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Bellanca 17 Viking
C152,no_dynamics(A320 fallback),1,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Cessna 152
AC95,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:PAY3,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,yes,,,,Rockwell Jetprop Commander 980
LJ55,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:LJ45,unknown,substitute:LEAR35,No data,,,business_jet,none,LEAR35,yes,140,TFE731-3AR-2B|TFE731-3AR-2B1|TFE731-3AR-3B|TFE731-3AR-3B1|TFE731-3C(R),"ANP substitution table, by aircraft configuration (EASA TCDSN)",Learjet 55
AS55,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:HELI,unknown,none,,,,rotorcraft,none,,no,,,,
DHC6,no_dynamics(A320 fallback),1,none,none,unknown,unknown,native:DHC6,,,BADA 3.8 (2010) listed it as NOT covered; ANP native = reading of ANP description,turboprop,none,,yes,,,,DeHavilland Canada DHC-6 Twin Otter
PAY2,no_dynamics(A320 fallback),1,none,none,yes:3.8-model,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,yes,,,,Piper PA-31T2 Cheyenne 2XL
BE10,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:D228,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,yes,,,,Beech 100 King Air
COL3,no_dynamics(A320 fallback),1,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Cessna 350 Corvalis
M20T,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:TRIN,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Mooney M20TN Acclaim Type S
PAY3,no_dynamics(A320 fallback),1,none,none,yes:3.8-model,unknown,native:PA42,,,ANP native = reading of ANP description,turboprop,none,,yes,,,,Piper PA-42 Cheyenne III
B735,openap_2_4_synonym,1,synonym:B734,native,yes:3.8-model,unknown,native:737500,No data,1CM004 1CM005 1CM006 1CM007,OpenAP drag-polar synonym B735->B734; ANP native = reading of ANP description,airliner,synonym:B734,737500,yes,128,CFM56-3B1|CFM56-3B2|CFM56-3C1,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Boeing B737-500
WW24,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:FA10,unknown,none,,,,business_jet,none,,no,,,"ANP substitution table, by aircraft configuration (EASA TCDSN)",IAI 1124 Westwind
H47,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:HELI,unknown,none,,,,rotorcraft,none,,yes,,,,
B722,no_dynamics(A320 fallback),1,none,native,yes:3.8-model,unknown,native:727200|727D15|727D17|727Q15|727Q9,No data,1PW009 1PW010,ANP native = reading of ANP description; PS row gives n_engine=2 for the 727-200 (ANP 727200 lists 3 engines); F00 204 kN is a 3-engine total (reading),airliner,none,727D15,yes,133,JT8D-15,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Boeing B727-228 Adv
MD82,no_dynamics(A320 fallback),1,none,native,yes:3.8-model,unknown,native:MD82,No data,1PW018 1PW019 4PW068 4PW069 4PW070 4PW071,ANP native = reading of ANP description; ANP ID(s) carry no approach D/R coefficient (fixed-point profiles only),airliner,none,MD82,yes,136,JT8D-217|JT8D-217A|JT8D-217C|JT8D-219,"ANP substitution table, by aircraft configuration (EASA TCDSN)",McDonnell Douglas MD-82
ASTR,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:FA10,unknown,native:IA1125,No data,,ANP native = reading of ANP description,business_jet,none,IA1125,yes,120,TFE731-40R-200G,"ANP substitution table, by aircraft configuration (EASA TCDSN)",IAI 1125 Astra
HUSK,no_dynamics(A320 fallback),1,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Aviat A-1 Husky
A5,no_dynamics(A320 fallback),1,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Icon A-5
BL8,no_dynamics(A320 fallback),1,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Bellanca 8 Scout
C240,no_dynamics(A320 fallback),1,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Cessna T240 Corvalis TTx
AT73,no_dynamics(A320 fallback),1,none,none,unknown,unknown,substitute:HS748A,,,,airliner,none,HS748A,no,,,,ATR 72-210
A339,no_dynamics(A320 fallback),1,none,native,unknown,unknown,none,ICAO Code: A338 Notes: The A339 has less range but more pax for very similar perfromance ICAO Code: A333 Notes: The A339 offers greater aerodynamic efficiency,family:02P23RR139 02P23RR140 02P23RR141 02P23RR142 02P23RR143,EDB family match (reading): Trent 7000 (APD) -> EDB Trent7000-68/-70/-72/-72C/-72D,airliner,none,,yes,140,Trent 7000,EUROCONTROL APD power plant,Airbus A330-941
P06T,no_dynamics(A320 fallback),1,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,
AN2,no_dynamics(A320 fallback),1,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,
BE55,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:BE58,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Beech 55 Baron
C177,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:P28A,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Cessna 177 Cardinal
S76,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:HELI,unknown,none,,,,rotorcraft,none,,yes,,,,
PTS1,no_dynamics(A320 fallback),1,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,
B764,no_dynamics(A320 fallback),1,none,native,yes:3.8-model,unknown,native:767400,No data,8GE101,ANP native = reading of ANP description,airliner,none,767400,yes,150,CF6-80C2B8F,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Boeing B767-400
SBR1,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:FA10,unknown,substitute:IA1125,,,,business_jet,none,IA1125,no,,TFE731-3R-1D,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Rockwell CT-39G Sabreliner
VO10,no_dynamics(A320 fallback),1,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,
H60,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:HELI,unknown,none,,,,rotorcraft,none,,yes,,,,
E110,no_dynamics(A320 fallback),1,none,none,yes:3.8-synonym:SW4,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,yes,,,,Embraer EMB-110 Bandeirante
CRUZ,no_dynamics(A320 fallback),1,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,CZAW SportCruiser
BE23,no_dynamics(A320 fallback),1,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Beech 23 Musketeer
PC7,no_dynamics(A320 fallback),0,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,yes,,,,
A119,no_dynamics(A320 fallback),0,none,none,yes:3.8-synonym:HELI,unknown,none,,,,rotorcraft,none,,no,,,,
CRJ1,no_dynamics(A320 fallback),0,none,none,yes:3.8-model,unknown,substitute:CL601,No data,01P05GE189 1GE035,,airliner,none,CL601,yes,135,CF34-3A1|CF34-3B1,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Canadair CRJ-100
C180,no_dynamics(A320 fallback),0,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Cessna 180
EXNG,no_dynamics(A320 fallback),0,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,
